"","chrnr","epinr","jnr","matr","resultat","prvdato","region","ugenr"
"23295",10140,3,"A2664798","772","NEG",1998-01-13,"R4",3
"23299",10210,2,"A2664805","772","NEG",1998-01-13,NA,3
"23303",10371,2,"A2664810","772","NEG",1998-01-15,"R1",3
"23307",10236,3,"A2664785","772","NEG",1998-01-14,NA,3
"23328",10410,1,"A2664757","772","NEG",1998-01-12,"R1",3
"23341",10140,3,"A2664701","772","NEG",1998-01-12,"R4",3
"23422",10161,3,"A2664627","772","NEG",1998-01-08,"R1",2
"23426",10129,1,"A2664632","772","NEG",1998-01-12,"R7",3
"23430",10186,2,"A2664638","772","NEG",1998-01-09,"R6",2
"23434",10203,1,"A2664646","772","NEG",1998-01-12,"R3",3
"23438",10594,2,"A2664650","772","NEG",1998-01-09,"R3",2
"23451",10416,1,"A2664496","772","NEG",1998-01-07,"R1",2
"23459",10107,2,"A2664510","772","NEG",1998-01-06,"R3",2
"23463",10151,2,"A2664514","772","NEG",1998-01-08,"R3",2
"23467",10576,1,"A2664521","772","NEG",1998-01-06,"R6",2
"23471",10560,2,"A2664488","772","NEG",1998-01-06,"R8",2
"23475",10153,8,"A2665112","772","POS",1998-01-20,"R3",4
"23479",10120,7,"A2665125","772","POS",1998-01-19,"R3",4
"23483",10581,2,"A2665130","772","POS",1998-01-21,"R3",4
"23487",10647,1,"A2665204","772","POS",1998-01-23,"R8",4
"23491",10603,4,"A2665226","772","POS",1998-01-23,"R3",4
"23495",10261,2,"A2665241","772","POS",1998-01-20,"R5",4
"23499",10209,1,"A2664808","772","POS",1998-01-14,"R1",3
"23508",10171,1,"A2665073","772","POS",1998-01-21,"R5",4
"23512",10154,1,"A2665084","772","POS",1998-01-20,"R1",4
"23516",10624,1,"A2665093","772","POS",1998-01-21,"R5",4
"23520",10153,5,"A2665109","772","POS",1998-01-20,"R3",4
"23542",10031,5,"A2664776","772","POS",1998-01-14,"R3",3
"23546",10491,2,"A2664793","772","POS",1998-01-15,NA,3
"23550",10244,1,"A2664703","772","POS",1998-01-09,"R4",2
"23554",10302,5,"A2664710","772","POS",1998-01-09,"R4",2
"23585",10217,2,"A2664506","772","POS",1998-01-05,"R5",2
"23589",10177,1,"A2664620","772","POS",1998-01-08,NA,2
"23593",10214,1,"A2664635","772","POS",1998-01-12,"R5",3
"23597",10143,5,"A2664643","772","POS",1998-01-12,"R3",3
"23618",10251,2,"A2664415","772","POS",1998-01-02,"R2",1
"23622",10233,8,"A2664420","772","POS",1998-01-05,"R6",2
"24104",10646,1,"A2624954","766","POS",1998-07-20,"R8",30
"24331",10238,2,"A2673464","772","POS",1998-06-29,NA,27
"24338",10619,2,"A2770131","772","POS",1999-09-15,"R5",90
"24342",10278,1,"A2770135","772","POS",1999-09-14,"R6",90
"24346",10106,2,"A2770141","772","POS",1999-09-16,"R3",90
"24350",10208,1,"A2770153","772","POS",1999-09-14,NA,90
"24365",10172,2,"A2770095","772","POS",1999-09-15,NA,90
"24369",10127,4,"A2770099","772","POS",1999-09-16,"R4",90
"24373",10302,5,"A2770107","772","POS",1999-09-15,"R4",90
"24377",10603,4,"A2770114","772","POS",1999-09-16,"R3",90
"24381",10362,1,"A2770118","772","POS",1999-09-15,"R2",90
"24386",10625,2,"A2769819","772","POS",1999-09-10,"R1",89
"24390",10307,1,"A2769831","772","POS",1999-09-13,"R3",90
"24398",10160,1,"A2769843","772","POS",1999-09-09,"R8",89
"24407",10532,2,"A2769805","772","POS",1999-09-13,"R4",90
"24411",10245,5,"A2769645","772","POS",1999-09-09,"R4",89
"24415",10226,13,"A2769650","772","POS",1999-09-08,NA,89
"24419",10444,2,"A2769670","772","POS",1999-09-08,"R3",89
"24424",10126,1,"A2769677","772","POS",1999-09-08,"R2",89
"24428",10245,2,"A2769801","772","POS",1999-09-10,"R4",89
